gene	gene_name	gwas_phenotype	training_model	zscore	atl_BHpval
ENSG00000173598	NUDT4	aparc-Desikan_lh_area_fusiform	JTI_Adrenal_Gland	-4.5748400585306	0.0126628151955697
ENSG00000069275	NUCKS1	aparc-Desikan_lh_area_lingual	JTI_Adrenal_Gland	-4.07111593514695	0.0480711034872513
ENSG00000011590	ZBTB32	aparc-Desikan_lh_thickness_frontalpole	JTI_Adrenal_Gland	6.01882936101144	4.56423761355904e-05
ENSG00000011590	ZBTB32	aparc-Desikan_lh_thickness_GlobalMeanThickness	JTI_Adrenal_Gland	4.60149481334392	0.011721493133395
ENSG00000011590	ZBTB32	aparc-Desikan_lh_thickness_lateralorbitofrontal	JTI_Adrenal_Gland	5.26771772069169	0.0011643948031332
ENSG00000011590	ZBTB32	aparc-Desikan_lh_thickness_parsopercularis	JTI_Adrenal_Gland	5.5129010785608	0.000429578047613799
ENSG00000011590	ZBTB32	aparc-Desikan_lh_thickness_precuneus	JTI_Adrenal_Gland	5.10597361166383	0.00212928427950951
ENSG00000011590	ZBTB32	aparc-Desikan_lh_thickness_rostralmiddlefrontal	JTI_Adrenal_Gland	5.90485982855778	7.84633870214045e-05
ENSG00000011590	ZBTB32	aparc-Desikan_lh_thickness_superiorfrontal	JTI_Adrenal_Gland	6.81495636167774	7.24144831936752e-07
ENSG00000011590	ZBTB32	aparc-Desikan_lh_volume_frontalpole	JTI_Adrenal_Gland	5.69258338949232	0.000201235893065311
ENSG00000069275	NUCKS1	aparc-Desikan_lh_volume_lingual	JTI_Adrenal_Gland	-4.68823428182606	0.00891339647401242
ENSG00000011590	ZBTB32	aparc-Desikan_lh_volume_rostralmiddlefrontal	JTI_Adrenal_Gland	5.57885009725498	0.000327396581916579
ENSG00000011590	ZBTB32	aparc-Desikan_lh_volume_superiorfrontal	JTI_Adrenal_Gland	5.48850348265079	0.000472896464063718
ENSG00000170579	DLGAP1	aparc-Desikan_rh_area_bankssts	JTI_Adrenal_Gland	4.19099183087137	0.0362110151813769
ENSG00000188130	MAPK12	aparc-Desikan_rh_area_inferiorparietal	JTI_Adrenal_Gland	-4.20655994653684	0.0348365102794383
ENSG00000069275	NUCKS1	aparc-Desikan_rh_area_pericalcarine	JTI_Adrenal_Gland	-4.37182090432918	0.0225413739622725
ENSG00000188130	MAPK12	aparc-Desikan_rh_area_TotalSurface	JTI_Adrenal_Gland	-4.17825881829653	0.037433795522566
ENSG00000011590	ZBTB32	aparc-Desikan_rh_thickness_caudalmiddlefrontal	JTI_Adrenal_Gland	5.52585389969134	0.000409821253204079
ENSG00000011590	ZBTB32	aparc-Desikan_rh_thickness_entorhinal	JTI_Adrenal_Gland	4.92715008422904	0.00392616038806429
ENSG00000011590	ZBTB32	aparc-Desikan_rh_thickness_frontalpole	JTI_Adrenal_Gland	4.72667817219648	0.00783281200684854
ENSG00000011590	ZBTB32	aparc-Desikan_rh_thickness_GlobalMeanThickness	JTI_Adrenal_Gland	5.49571192527165	0.000456029121396338
ENSG00000011590	ZBTB32	aparc-Desikan_rh_thickness_inferiorparietal	JTI_Adrenal_Gland	4.56621673231428	0.0129505056957618
ENSG00000011590	ZBTB32	aparc-Desikan_rh_thickness_lateralorbitofrontal	JTI_Adrenal_Gland	5.1059413543764	0.00212928427950951
ENSG00000011590	ZBTB32	aparc-Desikan_rh_thickness_medialorbitofrontal	JTI_Adrenal_Gland	5.06308586935078	0.00248087709889903
ENSG00000011590	ZBTB32	aparc-Desikan_rh_thickness_paracentral	JTI_Adrenal_Gland	5.28292653355344	0.00109732529601255
ENSG00000011590	ZBTB32	aparc-Desikan_rh_thickness_parsorbitalis	JTI_Adrenal_Gland	4.74304264366025	0.00743054570039443
ENSG00000011590	ZBTB32	aparc-Desikan_rh_thickness_parstriangularis	JTI_Adrenal_Gland	4.18746812097339	0.0365949102648738
ENSG00000011590	ZBTB32	aparc-Desikan_rh_thickness_precuneus	JTI_Adrenal_Gland	5.09124942821058	0.00223053863371752
ENSG00000011590	ZBTB32	aparc-Desikan_rh_thickness_rostralmiddlefrontal	JTI_Adrenal_Gland	6.73676419986889	1.11283886503976e-06
ENSG00000011590	ZBTB32	aparc-Desikan_rh_thickness_superiorfrontal	JTI_Adrenal_Gland	7.20464906983006	8.73819757102289e-08
ENSG00000011590	ZBTB32	aparc-Desikan_rh_thickness_superiorparietal	JTI_Adrenal_Gland	4.58603376111239	0.0122615841258064
ENSG00000069275	NUCKS1	aparc-Desikan_rh_volume_cuneus	JTI_Adrenal_Gland	-4.52126832169608	0.014890888044748
ENSG00000011590	ZBTB32	aparc-Desikan_rh_volume_frontalpole	JTI_Adrenal_Gland	4.75537150778813	0.00713720909433266
ENSG00000011590	ZBTB32	aparc-Desikan_rh_volume_lateralorbitofrontal	JTI_Adrenal_Gland	4.18788518830059	0.0365574489438367
ENSG00000011590	ZBTB32	aparc-Desikan_rh_volume_precentral	JTI_Adrenal_Gland	4.37218932418285	0.0225289117380303
ENSG00000011590	ZBTB32	aparc-Desikan_rh_volume_rostralmiddlefrontal	JTI_Adrenal_Gland	4.95586499608211	0.0035700778784691
ENSG00000011590	ZBTB32	aparc-Desikan_rh_volume_superiorfrontal	JTI_Adrenal_Gland	5.33952151712839	0.000883983503598845
ENSG00000011590	ZBTB32	aparc-Desikan_lh_thickness_frontalpole	JTI_Brain_Amygdala	6.00963401971103	4.75999462698185e-05
ENSG00000011590	ZBTB32	aparc-Desikan_lh_thickness_GlobalMeanThickness	JTI_Brain_Amygdala	4.6060205196035	0.0115578830648295
ENSG00000011590	ZBTB32	aparc-Desikan_lh_thickness_lateralorbitofrontal	JTI_Brain_Amygdala	5.22519410136262	0.00136155439332042
ENSG00000011590	ZBTB32	aparc-Desikan_lh_thickness_parsopercularis	JTI_Brain_Amygdala	5.51222388058213	0.000430504983599206
ENSG00000011590	ZBTB32	aparc-Desikan_lh_thickness_precuneus	JTI_Brain_Amygdala	5.09583365565445	0.0021985658931465
ENSG00000011590	ZBTB32	aparc-Desikan_lh_thickness_rostralmiddlefrontal	JTI_Brain_Amygdala	5.88661840325656	8.53151286146484e-05
ENSG00000011590	ZBTB32	aparc-Desikan_lh_thickness_superiorfrontal	JTI_Brain_Amygdala	6.81877182122308	7.1667104332697e-07
ENSG00000011590	ZBTB32	aparc-Desikan_lh_volume_frontalpole	JTI_Brain_Amygdala	5.67067907151979	0.00022034839417619
ENSG00000011590	ZBTB32	aparc-Desikan_lh_volume_rostralmiddlefrontal	JTI_Brain_Amygdala	5.60084824400752	0.000300031306665691
ENSG00000011590	ZBTB32	aparc-Desikan_lh_volume_superiorfrontal	JTI_Brain_Amygdala	5.46218152876412	0.000527373329780457
ENSG00000162989	KCNJ3	aparc-Desikan_rh_area_insula	JTI_Brain_Amygdala	4.3578515117542	0.0234640733716153
ENSG00000011590	ZBTB32	aparc-Desikan_rh_thickness_caudalmiddlefrontal	JTI_Brain_Amygdala	5.45177637373475	0.000551331977246446
ENSG00000011590	ZBTB32	aparc-Desikan_rh_thickness_entorhinal	JTI_Brain_Amygdala	4.90532460198767	0.00424702178849689
ENSG00000011590	ZBTB32	aparc-Desikan_rh_thickness_frontalpole	JTI_Brain_Amygdala	4.65975933709171	0.00981531856728849
ENSG00000011590	ZBTB32	aparc-Desikan_rh_thickness_GlobalMeanThickness	JTI_Brain_Amygdala	5.45933365841033	0.000532472439220605
ENSG00000011590	ZBTB32	aparc-Desikan_rh_thickness_inferiorparietal	JTI_Brain_Amygdala	4.58109410138556	0.0124489566749047
ENSG00000011590	ZBTB32	aparc-Desikan_rh_thickness_lateralorbitofrontal	JTI_Brain_Amygdala	5.09095526395978	0.00223064745498545
ENSG00000011590	ZBTB32	aparc-Desikan_rh_thickness_medialorbitofrontal	JTI_Brain_Amygdala	5.06137465326576	0.00249906534043331
ENSG00000011590	ZBTB32	aparc-Desikan_rh_thickness_paracentral	JTI_Brain_Amygdala	5.23600824852297	0.00130552862222489
ENSG00000011590	ZBTB32	aparc-Desikan_rh_thickness_parsorbitalis	JTI_Brain_Amygdala	4.76527853473737	0.00691595626126906
ENSG00000011590	ZBTB32	aparc-Desikan_rh_thickness_parstriangularis	JTI_Brain_Amygdala	4.16676005928684	0.038472422751984
